,precision,recall,f1-score,support
BENIGN,0.9998237850530076,0.9992207191837363,0.9995221611528027,454265.0
Bot,0.773542600896861,0.8823529411764706,0.8243727598566308,391.0
DDoS,1.0,0.9998437805116188,0.9999218841542007,25605.0
DoS GoldenEye,0.9980478282088824,0.9932005828071879,0.9956183057448881,2059.0
DoS Hulk,0.9981347330065501,0.9998913633894623,0.9990122759983068,46025.0
DoS Slowhttptest,0.993607305936073,0.9890909090909091,0.9913439635535307,1100.0
DoS slowloris,0.9982713915298185,0.996548748921484,0.9974093264248705,1159.0
FTP-Patator,1.0,0.998109640831758,0.9990539262062441,1587.0
Other Attack,0.9,0.6428571428571429,0.75,14.0
PortScan,0.9946740186096056,0.9996221781430056,0.997141959798995,31761.0
SSH-Patator,1.0,0.9991518235793045,0.9995757318625371,1179.0
Web Attack Brute Force,0.7665505226480837,0.7308970099667774,0.7482993197278912,301.0
Web Attack XSS,0.43790849673202614,0.5153846153846153,0.4734982332155477,130.0
accuracy,0.9989320621808563,0.9989320621808563,0.9989320621808563,0.9989320621808563
macro avg,0.9123508217400699,0.9035516504494978,0.9057515267458804,565576.0
weighted avg,0.9989720291087817,0.9989320621808563,0.9989475773583452,565576.0
